target,score,cum_target,gain,population
1,0.9997468303376824,1,0.08333333333333333,0.0007336757153338225
1,0.9996054277596659,2,0.16666666666666666,1.0007336757153338
1,0.9991296208876984,3,0.25,2.000733675715334
1,0.9984454105684676,4,0.3333333333333333,3.000733675715334
1,0.9974861201892202,5,0.4166666666666667,4.000733675715334
1,0.9973827312123833,6,0.5,5.000733675715334
1,0.9945987858710773,7,0.5833333333333334,6.000733675715334
1,0.862513903614123,8,0.6666666666666666,7.000733675715334
0,0.38669913441794584,8,0.6666666666666666,8.000733675715335
0,0.28255010169407957,8,0.6666666666666666,9.000733675715335
0,0.23823776751962966,8,0.6666666666666666,10.000733675715335
1,0.18507282730420277,9,0.75,11.000733675715335
1,0.178538110628696,10,0.8333333333333334,12.000733675715335
0,0.15880994950561447,10,0.8333333333333334,13.000733675715335
0,0.1571658801123479,10,0.8333333333333334,14.000733675715335
0,0.15344390217231516,10,0.8333333333333334,15.000733675715335
0,0.1402302272948388,10,0.8333333333333334,16.000733675715335
0,0.12890868384674015,10,0.8333333333333334,17.000733675715335
1,0.12060257147595518,11,0.9166666666666666,18.000733675715335
0,0.10988515886844585,11,0.9166666666666666,19.000733675715335
0,0.09933132170061344,11,0.9166666666666666,20.000733675715335
0,0.0919754406162485,11,0.9166666666666666,21.000733675715335
0,0.09009846350157968,11,0.9166666666666666,22.000733675715335
0,0.08782789280279142,11,0.9166666666666666,23.000733675715335
0,0.08240660980346745,11,0.9166666666666666,24.000733675715335
0,0.07898220000344937,11,0.9166666666666666,25.000733675715335
0,0.06547974763123532,11,0.9166666666666666,26.000733675715335
0,0.06466489625463315,11,0.9166666666666666,27.000733675715335
0,0.05731078020222132,11,0.9166666666666666,28.000733675715335
0,0.0523305633019006,11,0.9166666666666666,29.000733675715335
0,0.04903065105594455,11,0.9166666666666666,30.000733675715335
1,0.04724665125358514,12,1.0,31.000733675715335
0,0.045296651965445356,12,1.0,32.00073367571533
0,0.04441036845590137,12,1.0,33.00073367571533
0,0.04243837664535454,12,1.0,34.00073367571533
0,0.041688951342267556,12,1.0,35.00073367571533
0,0.038108351760137715,12,1.0,36.00073367571533
0,0.03613083472042645,12,1.0,37.00073367571533
0,0.035144607643055305,12,1.0,38.00073367571533
0,0.034695816033580455,12,1.0,39.00073367571533
0,0.03462268723135096,12,1.0,40.00073367571533
0,0.0334704010380341,12,1.0,41.00073367571533
0,0.03276172581207697,12,1.0,42.00073367571533
0,0.03192341649259773,12,1.0,43.00073367571533
0,0.031905763697865935,12,1.0,44.00073367571533
0,0.03148922383866806,12,1.0,45.00073367571533
0,0.028841490861566624,12,1.0,46.00073367571533
0,0.027621949768592852,12,1.0,47.00073367571533
0,0.026137297680644517,12,1.0,48.00073367571533
0,0.02544868301037803,12,1.0,49.00073367571533
0,0.025323228799340434,12,1.0,50.00073367571533
0,0.025301140283802915,12,1.0,51.00073367571533
0,0.025281460083869143,12,1.0,52.00073367571533
0,0.024687648486765103,12,1.0,53.00073367571533
0,0.024092677558103782,12,1.0,54.00073367571533
0,0.024048562931029464,12,1.0,55.00073367571533
0,0.023960977737584134,12,1.0,56.00073367571533
0,0.02220593681230128,12,1.0,57.00073367571533
0,0.021853218421245414,12,1.0,58.00073367571533
0,0.021542294414357475,12,1.0,59.00073367571533
0,0.021164927574255234,12,1.0,60.00073367571533
0,0.019844818089212412,12,1.0,61.00073367571533
0,0.019812251966819513,12,1.0,62.00073367571533
0,0.019388735168106443,12,1.0,63.00073367571533
0,0.019210377589874674,12,1.0,64.00073367571534
0,0.018879087060021775,12,1.0,65.00073367571534
0,0.018831436042856878,12,1.0,66.00073367571534
0,0.018370919486742254,12,1.0,67.00073367571534
0,0.01802007408599387,12,1.0,68.00073367571534
0,0.017738037262788997,12,1.0,69.00073367571534
0,0.017636734555549902,12,1.0,70.00073367571534
0,0.017514701519828826,12,1.0,71.00073367571534
0,0.01722987201847876,12,1.0,72.00073367571534
0,0.01700361030927908,12,1.0,73.00073367571534
0,0.016822734501024346,12,1.0,74.00073367571534
0,0.01671614726395486,12,1.0,75.00073367571534
0,0.01666568081048792,12,1.0,76.00073367571534
0,0.01633421142450972,12,1.0,77.00073367571534
0,0.015943976759893678,12,1.0,78.00073367571534
0,0.015320570629034518,12,1.0,79.00073367571534
0,0.015215939415634845,12,1.0,80.00073367571534
0,0.015082595265561102,12,1.0,81.00073367571534
0,0.01483014977287989,12,1.0,82.00073367571534
0,0.014483183513081916,12,1.0,83.00073367571534
0,0.014086154180142713,12,1.0,84.00073367571534
0,0.013706035088956868,12,1.0,85.00073367571534
0,0.013588437220207777,12,1.0,86.00073367571534
0,0.013547140828056525,12,1.0,87.00073367571534
0,0.013343392525112545,12,1.0,88.00073367571534
0,0.013165989314906259,12,1.0,89.00073367571534
0,0.013051777262112893,12,1.0,90.00073367571534
0,0.012983333193177257,12,1.0,91.00073367571534
0,0.012861982746000455,12,1.0,92.00073367571534
0,0.012694965406116782,12,1.0,93.00073367571534
0,0.01221868793125131,12,1.0,94.00073367571534
0,0.012102765525985784,12,1.0,95.00073367571534
0,0.012042243981839335,12,1.0,96.00073367571534
0,0.011884392028779958,12,1.0,97.00073367571534
0,0.011855335635014367,12,1.0,98.00073367571534
0,0.011830387853889027,12,1.0,99.00073367571534
0,0.011791446126542957,12,1.0,100.00073367571534
0,0.011776512449947202,12,1.0,101.00073367571534
0,0.011720104311971163,12,1.0,102.00073367571534
0,0.011580836652126869,12,1.0,103.00073367571534
0,0.011469124881113991,12,1.0,104.00073367571534
0,0.011440475262997398,12,1.0,105.00073367571534
0,0.011396241920833647,12,1.0,106.00073367571534
0,0.011391608376899395,12,1.0,107.00073367571534
0,0.011354515699130324,12,1.0,108.00073367571534
0,0.011035947754088588,12,1.0,109.00073367571534
0,0.010856703115052673,12,1.0,110.00073367571534
0,0.010703655273229666,12,1.0,111.00073367571534
0,0.010655049718040072,12,1.0,112.00073367571534
0,0.010606332569808452,12,1.0,113.00073367571534
0,0.01045390221861092,12,1.0,114.00073367571534
0,0.01042576186520458,12,1.0,115.00073367571534
0,0.010347145998460825,12,1.0,116.00073367571534
0,0.01025126888429516,12,1.0,117.00073367571534
0,0.010131649172535439,12,1.0,118.00073367571534
0,0.01008816150805109,12,1.0,119.00073367571534
0,0.010046102404502913,12,1.0,120.00073367571534
0,0.009973864650804246,12,1.0,121.00073367571534
0,0.009702647371048421,12,1.0,122.00073367571534
0,0.009670650555597671,12,1.0,123.00073367571534
0,0.009631851350703517,12,1.0,124.00073367571534
0,0.009628480437261219,12,1.0,125.00073367571534
0,0.009533401706266632,12,1.0,126.00073367571534
0,0.009474905057991262,12,1.0,127.00073367571534
0,0.009467754789783116,12,1.0,128.00073367571534
0,0.009439268519788786,12,1.0,129.00073367571534
0,0.00943888008464598,12,1.0,130.00073367571534
0,0.009437530076808424,12,1.0,131.00073367571534
0,0.009365005086201406,12,1.0,132.00073367571534
0,0.009323430785917103,12,1.0,133.00073367571534
0,0.009221301174343043,12,1.0,134.00073367571534
0,0.00920567950064568,12,1.0,135.00073367571534
0,0.00901413907207543,12,1.0,136.00073367571534
0,0.008987630598741227,12,1.0,137.00073367571534
0,0.008978579700269516,12,1.0,138.00073367571534
0,0.008968536988781507,12,1.0,139.00073367571534
0,0.008963418480685242,12,1.0,140.00073367571534
0,0.00879964017248752,12,1.0,141.00073367571534
0,0.008773452130695724,12,1.0,142.00073367571534
0,0.008714805127265428,12,1.0,143.00073367571534
0,0.008650106432985204,12,1.0,144.00073367571534
0,0.008464832707478187,12,1.0,145.00073367571534
0,0.008430403598988239,12,1.0,146.00073367571534
0,0.008299548852566079,12,1.0,147.00073367571534
0,0.008132177837281866,12,1.0,148.00073367571534
0,0.007911487060089898,12,1.0,149.00073367571534
0,0.00784263114745908,12,1.0,150.00073367571534
0,0.00781459822355821,12,1.0,151.00073367571534
0,0.007792807029176317,12,1.0,152.00073367571534
0,0.007674028048343937,12,1.0,153.00073367571534
0,0.00764703543198188,12,1.0,154.00073367571534
0,0.00747693213264695,12,1.0,155.00073367571534
0,0.007299901739598576,12,1.0,156.00073367571534
0,0.00729164781018465,12,1.0,157.00073367571534
0,0.0072857756030404635,12,1.0,158.00073367571534
0,0.0071969144408014305,12,1.0,159.00073367571534
0,0.007131975814086353,12,1.0,160.00073367571534
0,0.007077019232832337,12,1.0,161.00073367571534
0,0.006889711199263685,12,1.0,162.00073367571534
0,0.006828545235006326,12,1.0,163.00073367571534
0,0.006691234542768079,12,1.0,164.00073367571534
0,0.006605791206262065,12,1.0,165.00073367571534
0,0.00658307538834182,12,1.0,166.00073367571534
0,0.006552468386737875,12,1.0,167.00073367571534
0,0.006511226019205451,12,1.0,168.00073367571534
0,0.006420596329211041,12,1.0,169.00073367571534
0,0.0063286493087019065,12,1.0,170.00073367571534
0,0.006325002516526064,12,1.0,171.00073367571534
0,0.006229497461319308,12,1.0,172.00073367571534
0,0.006223990807485286,12,1.0,173.00073367571534
0,0.005942683161467416,12,1.0,174.00073367571534
0,0.005904151058708717,12,1.0,175.00073367571534
0,0.005903022879686854,12,1.0,176.00073367571534
0,0.005869819987653699,12,1.0,177.00073367571534
0,0.005842954825455268,12,1.0,178.00073367571534
0,0.0058251915627913,12,1.0,179.00073367571534
0,0.005758610979839587,12,1.0,180.00073367571534
0,0.00566244623986193,12,1.0,181.00073367571534
0,0.005659836232611683,12,1.0,182.00073367571534
0,0.005644407922968967,12,1.0,183.00073367571534
0,0.005575658766540024,12,1.0,184.00073367571534
0,0.005572779566382964,12,1.0,185.00073367571534
0,0.0055465989848912,12,1.0,186.00073367571534
0,0.005544457760932433,12,1.0,187.00073367571534
0,0.005492405947918289,12,1.0,188.00073367571534
0,0.0054669668865051785,12,1.0,189.00073367571534
0,0.00544577290298695,12,1.0,190.00073367571534
0,0.0054262157631872025,12,1.0,191.00073367571534
0,0.005394791039753929,12,1.0,192.00073367571534
0,0.005369741435004852,12,1.0,193.00073367571534
0,0.005305040285068524,12,1.0,194.00073367571534
0,0.005285426589403446,12,1.0,195.00073367571534
0,0.005227549312600357,12,1.0,196.00073367571534
0,0.005179491344974983,12,1.0,197.00073367571534
0,0.005085151113934279,12,1.0,198.00073367571534
0,0.00505986715856483,12,1.0,199.00073367571534
0,0.005036193897510234,12,1.0,200.00073367571534
0,0.0050300061309465904,12,1.0,201.00073367571534
0,0.004999180775356902,12,1.0,202.00073367571534
0,0.004891544185933411,12,1.0,203.00073367571534
0,0.004889023837423667,12,1.0,204.00073367571534
0,0.0048843361965610985,12,1.0,205.00073367571534
0,0.004883754731655662,12,1.0,206.00073367571534
0,0.004883186941026383,12,1.0,207.00073367571534
0,0.0048168916391440175,12,1.0,208.00073367571534
0,0.004812183208941408,12,1.0,209.00073367571534
0,0.0047523215488428985,12,1.0,210.00073367571534
0,0.004742416702763157,12,1.0,211.00073367571534
0,0.004713010749373929,12,1.0,212.00073367571534
0,0.004699766663182987,12,1.0,213.00073367571534
0,0.004682241310218431,12,1.0,214.00073367571534
0,0.004651498033006608,12,1.0,215.00073367571534
0,0.004647654858061575,12,1.0,216.00073367571534
0,0.004629450079639706,12,1.0,217.00073367571534
0,0.004629420425409555,12,1.0,218.00073367571534
0,0.004599024741244676,12,1.0,219.00073367571534
0,0.004588507773135307,12,1.0,220.00073367571534
0,0.004505206817393085,12,1.0,221.00073367571534
0,0.004439918683072756,12,1.0,222.00073367571534
0,0.00442693715224208,12,1.0,223.00073367571534
0,0.004419160780699462,12,1.0,224.00073367571534
0,0.004403684176619084,12,1.0,225.00073367571534
0,0.004332945394582645,12,1.0,226.00073367571534
0,0.004313400140547214,12,1.0,227.00073367571534
0,0.004266585421933144,12,1.0,228.00073367571534
0,0.00425012148798202,12,1.0,229.00073367571534
0,0.004248494821186787,12,1.0,230.00073367571534
0,0.0041947382033746,12,1.0,231.00073367571534
0,0.004169649802475611,12,1.0,232.00073367571534
0,0.004157960774791533,12,1.0,233.00073367571534
0,0.00413548684877023,12,1.0,234.00073367571534
0,0.0041319054730401435,12,1.0,235.00073367571534
0,0.004126040096806816,12,1.0,236.00073367571534
0,0.004116926332594478,12,1.0,237.00073367571534
0,0.0040943098605762075,12,1.0,238.00073367571534
0,0.004070460434022129,12,1.0,239.00073367571534
0,0.004038732357372954,12,1.0,240.00073367571534
0,0.004037755698335379,12,1.0,241.00073367571534
0,0.004035364659746707,12,1.0,242.00073367571534
0,0.004002826523195922,12,1.0,243.00073367571534
0,0.00400128694966285,12,1.0,244.00073367571534
0,0.003967099315141565,12,1.0,245.00073367571534
0,0.003962518771247545,12,1.0,246.00073367571534
0,0.003959414186876435,12,1.0,247.00073367571534
0,0.003911730436587633,12,1.0,248.00073367571534
0,0.0039100237174058495,12,1.0,249.00073367571534
0,0.0038893896381939005,12,1.0,250.00073367571534
0,0.0038650482887911974,12,1.0,251.00073367571534
0,0.003855375038752859,12,1.0,252.00073367571534
0,0.003852851943037918,12,1.0,253.00073367571534
0,0.0038501879002246324,12,1.0,254.00073367571534
0,0.00383850063933511,12,1.0,255.00073367571534
0,0.0038342286045646634,12,1.0,256.0007336757153
0,0.0037720981516249754,12,1.0,257.0007336757153
0,0.003766511880292747,12,1.0,258.0007336757153
0,0.003758851532534946,12,1.0,259.0007336757153
0,0.0037529381406455294,12,1.0,260.0007336757153
0,0.0037429782684289866,12,1.0,261.0007336757153
0,0.0037028879696101094,12,1.0,262.0007336757153
0,0.003682235143372425,12,1.0,263.0007336757153
0,0.003667755043994859,12,1.0,264.0007336757153
0,0.0036555228176972116,12,1.0,265.0007336757153
0,0.003633171493716576,12,1.0,266.0007336757153
0,0.0036298211358154722,12,1.0,267.0007336757153
0,0.0036274082143262698,12,1.0,268.0007336757153
0,0.0036185244946812826,12,1.0,269.0007336757153
0,0.0036144852594858935,12,1.0,270.0007336757153
0,0.003609536073113151,12,1.0,271.0007336757153
0,0.003606831122566754,12,1.0,272.0007336757153
0,0.0035796921432798812,12,1.0,273.0007336757153
0,0.00356426761432964,12,1.0,274.0007336757153
0,0.0035623963985120933,12,1.0,275.0007336757153
0,0.003544388885157382,12,1.0,276.0007336757153
0,0.0035220839326816624,12,1.0,277.0007336757153
0,0.003519170436257143,12,1.0,278.0007336757153
0,0.0035156410404331103,12,1.0,279.0007336757153
0,0.0035021650607244166,12,1.0,280.0007336757153
0,0.0034957644147256078,12,1.0,281.0007336757153
0,0.0034309155800597924,12,1.0,282.0007336757153
0,0.0034179177273387967,12,1.0,283.0007336757153
0,0.0034056475177432735,12,1.0,284.0007336757153
0,0.003397058484373203,12,1.0,285.0007336757153
0,0.0033128286702777095,12,1.0,286.0007336757153
0,0.003254382106443456,12,1.0,287.0007336757153
0,0.003221385103847151,12,1.0,288.0007336757153
0,0.0031978353279360407,12,1.0,289.0007336757153
0,0.0031720558893644705,12,1.0,290.0007336757153
0,0.0031559975968319673,12,1.0,291.0007336757153
0,0.003149967398346155,12,1.0,292.0007336757153
0,0.003135172023502394,12,1.0,293.0007336757153
0,0.0031270582986547245,12,1.0,294.0007336757153
0,0.0031138830411870095,12,1.0,295.0007336757153
0,0.0030996937292708244,12,1.0,296.0007336757153
0,0.0030902615586703383,12,1.0,297.0007336757153
0,0.0030633377134163062,12,1.0,298.0007336757153
0,0.00306178054700747,12,1.0,299.0007336757153
0,0.0030502611628282646,12,1.0,300.0007336757153
0,0.0030427846809279414,12,1.0,301.0007336757153
0,0.002996433753194403,12,1.0,302.0007336757153
0,0.0029788582895109877,12,1.0,303.0007336757153
0,0.0029700737641682904,12,1.0,304.0007336757153
0,0.002941849842841803,12,1.0,305.0007336757153
0,0.0029396367679345634,12,1.0,306.0007336757153
0,0.0029354326481578516,12,1.0,307.0007336757153
0,0.002930781064535297,12,1.0,308.0007336757153
0,0.0029297880024412967,12,1.0,309.0007336757153
0,0.002926463200236699,12,1.0,310.0007336757153
0,0.0029182954775960235,12,1.0,311.0007336757153
0,0.0029147726188553913,12,1.0,312.0007336757153
0,0.0028873134288759437,12,1.0,313.0007336757153
0,0.0028743035906788777,12,1.0,314.0007336757153
0,0.002871539368506106,12,1.0,315.0007336757153
0,0.0028650672134269434,12,1.0,316.0007336757153
0,0.0028467307802449307,12,1.0,317.0007336757153
0,0.0028324425252247683,12,1.0,318.0007336757153
0,0.0028264741820022404,12,1.0,319.0007336757153
0,0.0028236822984114723,12,1.0,320.0007336757153
0,0.0028178788522169175,12,1.0,321.0007336757153
0,0.002813129288575564,12,1.0,322.0007336757153
0,0.0028077547219319708,12,1.0,323.0007336757153
0,0.0027995080377017103,12,1.0,324.0007336757153
0,0.0027974234945808227,12,1.0,325.0007336757153
0,0.002775551499166541,12,1.0,326.0007336757153
0,0.0027656005028745723,12,1.0,327.0007336757153
0,0.002760044877782784,12,1.0,328.0007336757153
0,0.0027594740611031924,12,1.0,329.0007336757153
0,0.0027558149257890436,12,1.0,330.0007336757153
0,0.002740157612032722,12,1.0,331.0007336757153
0,0.002737235655036284,12,1.0,332.0007336757153
0,0.002720784452831377,12,1.0,333.0007336757153
0,0.002720009556763571,12,1.0,334.0007336757153
0,0.002714141522079248,12,1.0,335.0007336757153
0,0.0027132509649973376,12,1.0,336.0007336757153
0,0.002696184164700052,12,1.0,337.0007336757153
0,0.0026846410367673858,12,1.0,338.0007336757153
0,0.0026597889510963073,12,1.0,339.0007336757153
0,0.002657313793179063,12,1.0,340.0007336757153
0,0.002652736970704726,12,1.0,341.0007336757153
0,0.0026417958012875,12,1.0,342.0007336757153
0,0.0026313116667058137,12,1.0,343.0007336757153
0,0.002618147970326562,12,1.0,344.0007336757153
0,0.002617530326384488,12,1.0,345.0007336757153
0,0.0026159987479736422,12,1.0,346.0007336757153
0,0.002591854446095949,12,1.0,347.0007336757153
0,0.002535776278690005,12,1.0,348.0007336757153
0,0.002527331563767284,12,1.0,349.0007336757153
0,0.002522648387587055,12,1.0,350.0007336757153
0,0.002522221702511531,12,1.0,351.0007336757153
0,0.002514514002889963,12,1.0,352.0007336757153
0,0.0025143866878385266,12,1.0,353.0007336757153
0,0.002513748077711002,12,1.0,354.0007336757153
0,0.002509628056982264,12,1.0,355.0007336757153
0,0.0024966859481700596,12,1.0,356.0007336757153
0,0.002486492642953326,12,1.0,357.0007336757153
0,0.0024810095436136916,12,1.0,358.0007336757153
0,0.002467070351161569,12,1.0,359.0007336757153
0,0.0024648838959488643,12,1.0,360.0007336757153
0,0.002450128684241812,12,1.0,361.0007336757153
0,0.0024480527152124097,12,1.0,362.0007336757153
0,0.0024401329225440436,12,1.0,363.0007336757153
0,0.002439399980646147,12,1.0,364.0007336757153
0,0.002435542924227061,12,1.0,365.0007336757153
0,0.002435167562034458,12,1.0,366.0007336757153
0,0.0024349156987907568,12,1.0,367.0007336757153
0,0.002394065311003112,12,1.0,368.0007336757153
0,0.002382932150120436,12,1.0,369.0007336757153
0,0.002363568153187311,12,1.0,370.0007336757153
0,0.0023598347843523564,12,1.0,371.0007336757153
0,0.0023438612570138464,12,1.0,372.0007336757153
0,0.0023127382486720074,12,1.0,373.0007336757153
0,0.0023057031050401668,12,1.0,374.0007336757153
0,0.0023023913311638854,12,1.0,375.0007336757153
0,0.0023005553733237657,12,1.0,376.0007336757153
0,0.002279104315192278,12,1.0,377.0007336757153
0,0.0022787568748309475,12,1.0,378.0007336757153
0,0.0022649952809013414,12,1.0,379.0007336757153
0,0.002244012343799651,12,1.0,380.0007336757153
0,0.00224252344117098,12,1.0,381.0007336757153
0,0.002237252410322077,12,1.0,382.0007336757153
0,0.002233891856475732,12,1.0,383.0007336757153
0,0.002230852723552065,12,1.0,384.0007336757153
0,0.002206624119129587,12,1.0,385.0007336757153
0,0.0021911221276576217,12,1.0,386.0007336757153
0,0.0021878792234911516,12,1.0,387.0007336757153
0,0.002186762790412621,12,1.0,388.0007336757153
0,0.00218315423170631,12,1.0,389.0007336757153
0,0.0021796035147377923,12,1.0,390.0007336757153
0,0.002162796497684718,12,1.0,391.0007336757153
0,0.002156403904697692,12,1.0,392.0007336757153
0,0.0021519994199975636,12,1.0,393.0007336757153
0,0.002148924960400247,12,1.0,394.0007336757153
0,0.0021446184862532708,12,1.0,395.0007336757153
0,0.0021353917593833712,12,1.0,396.0007336757153
0,0.0021333370140221948,12,1.0,397.0007336757153
0,0.0021182079803034443,12,1.0,398.0007336757153
0,0.0021058236289931676,12,1.0,399.0007336757153
0,0.002102953544544471,12,1.0,400.0007336757153
0,0.002100802628813835,12,1.0,401.0007336757153
0,0.002098374425100743,12,1.0,402.0007336757153
0,0.0020972928003116457,12,1.0,403.0007336757153
0,0.0020924328296031713,12,1.0,404.0007336757153
0,0.0020609553915689905,12,1.0,405.0007336757153
0,0.0020602885216379754,12,1.0,406.0007336757153
0,0.002057764598700083,12,1.0,407.0007336757153
0,0.0020570310396378043,12,1.0,408.0007336757153
0,0.0020508375654843757,12,1.0,409.0007336757153
0,0.0020424136101560813,12,1.0,410.0007336757153
0,0.0020329430976431407,12,1.0,411.0007336757153
0,0.002031739533348918,12,1.0,412.0007336757153
0,0.0020276391468862153,12,1.0,413.0007336757153
0,0.0020244478002001,12,1.0,414.0007336757153
0,0.0020193849251449974,12,1.0,415.0007336757153
0,0.0020070254433179648,12,1.0,416.0007336757153
0,0.0019924927109984704,12,1.0,417.0007336757153
0,0.0019918533040778844,12,1.0,418.0007336757153
0,0.0019909790299661606,12,1.0,419.0007336757153
0,0.001990583671384059,12,1.0,420.0007336757153
0,0.0019778174646051935,12,1.0,421.0007336757153
0,0.0019760143763274795,12,1.0,422.0007336757153
0,0.0019740721059817376,12,1.0,423.0007336757153
0,0.001973624225940869,12,1.0,424.0007336757153
0,0.0019642241305861553,12,1.0,425.0007336757153
0,0.0019626854308931988,12,1.0,426.0007336757153
0,0.0019617074012049213,12,1.0,427.0007336757153
0,0.001953355155426105,12,1.0,428.0007336757153
0,0.0019475086106567098,12,1.0,429.0007336757153
0,0.0019463402627454746,12,1.0,430.0007336757153
0,0.0019308366905893325,12,1.0,431.0007336757153
0,0.0019096851049587682,12,1.0,432.0007336757153
0,0.0019072501872425518,12,1.0,433.0007336757153
0,0.0019019402395592968,12,1.0,434.0007336757153
0,0.0018995163280047028,12,1.0,435.0007336757153
0,0.0018968056138252095,12,1.0,436.0007336757153
0,0.0018958680394624754,12,1.0,437.0007336757153
0,0.0018935226304620913,12,1.0,438.0007336757153
0,0.001890916908641076,12,1.0,439.0007336757153
0,0.0018868678295151837,12,1.0,440.0007336757153
0,0.001884159560621902,12,1.0,441.0007336757153
0,0.0018809751303985318,12,1.0,442.0007336757153
0,0.0018726649416789026,12,1.0,443.0007336757153
0,0.0018682805101846284,12,1.0,444.0007336757153
0,0.0018648198297780954,12,1.0,445.0007336757153
0,0.0018606695541570973,12,1.0,446.0007336757153
0,0.00185924725660102,12,1.0,447.0007336757153
0,0.0018521265719162257,12,1.0,448.0007336757153
0,0.0018450474184321575,12,1.0,449.0007336757153
0,0.0018399907128285643,12,1.0,450.0007336757153
0,0.0018313602969783323,12,1.0,451.0007336757153
0,0.0018306738892415032,12,1.0,452.0007336757153
0,0.0018285490739338686,12,1.0,453.0007336757153
